patient_id,slide_id,x,y,feat_path
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,6987,41636,data\brca\features\TCGA-AR-A24O\000000.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,26709,46597,data\brca\features\TCGA-AR-A24O\000001.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,24851,15972,data\brca\features\TCGA-AR-A24O\000002.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,40393,12805,data\brca\features\TCGA-AR-A24O\000003.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,27188,46816,data\brca\features\TCGA-AR-A24O\000004.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,17079,42082,data\brca\features\TCGA-AR-A24O\000005.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,41869,24374,data\brca\features\TCGA-AR-A24O\000006.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,35997,28396,data\brca\features\TCGA-AR-A24O\000007.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,25573,5653,data\brca\features\TCGA-AR-A24O\000008.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,38021,18788,data\brca\features\TCGA-AR-A24O\000009.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,24672,2699,data\brca\features\TCGA-AR-A24O\000010.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,3653,43297,data\brca\features\TCGA-AR-A24O\000011.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,15160,39332,data\brca\features\TCGA-AR-A24O\000012.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,43003,34874,data\brca\features\TCGA-AR-A24O\000013.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,43774,45447,data\brca\features\TCGA-AR-A24O\000014.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,42058,29465,data\brca\features\TCGA-AR-A24O\000015.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,3712,15564,data\brca\features\TCGA-AR-A24O\000016.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,13300,37381,data\brca\features\TCGA-AR-A24O\000017.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,12657,15065,data\brca\features\TCGA-AR-A24O\000018.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,35592,17699,data\brca\features\TCGA-AR-A24O\000019.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,38551,42905,data\brca\features\TCGA-AR-A24O\000020.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,22894,6792,data\brca\features\TCGA-AR-A24O\000021.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,11453,18018,data\brca\features\TCGA-AR-A24O\000022.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,29099,19365,data\brca\features\TCGA-AR-A24O\000023.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,17911,11121,data\brca\features\TCGA-AR-A24O\000024.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,241,39638,data\brca\features\TCGA-AR-A24O\000025.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,7385,178,data\brca\features\TCGA-AR-A24O\000026.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,3828,24966,data\brca\features\TCGA-AR-A24O\000027.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,33517,26111,data\brca\features\TCGA-AR-A24O\000028.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,5350,4264,data\brca\features\TCGA-AR-A24O\000029.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,43275,17778,data\brca\features\TCGA-AR-A24O\000030.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,19428,30690,data\brca\features\TCGA-AR-A24O\000031.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,29849,6789,data\brca\features\TCGA-AR-A24O\000032.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,36619,10777,data\brca\features\TCGA-AR-A24O\000033.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,13238,430,data\brca\features\TCGA-AR-A24O\000034.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,10789,11378,data\brca\features\TCGA-AR-A24O\000035.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,13336,10418,data\brca\features\TCGA-AR-A24O\000036.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,31301,38519,data\brca\features\TCGA-AR-A24O\000037.npy
TCGA-AR-A24O,TCGA-AR-A24O-01Z-00-DX1,42483,28214,data\brca\features\TCGA-AR-A24O\000038.npy
