Cancer Type,Method,C-index (mean ± SD),95% CI
BRCA,Bio-STFM,0.760 ± 0.025,"(0.729, 0.790)"
BRCA,MCAT,0.715 ± 0.028,"(0.686, 0.744)"
BRCA,Porpoise,0.704 ± 0.019,"(0.676, 0.732)"
BRCA,TransMIL,0.677 ± 0.012,"(0.645, 0.709)"
BRCA,ABMIL,0.663 ± 0.018,"(0.633, 0.692)"
COAD,Bio-STFM,0.757 ± 0.045,"(0.726, 0.788)"
COAD,MCAT,0.731 ± 0.041,"(0.698, 0.763)"
COAD,Porpoise,0.724 ± 0.033,"(0.695, 0.753)"
COAD,TransMIL,0.700 ± 0.039,"(0.672, 0.729)"
COAD,ABMIL,0.681 ± 0.064,"(0.651, 0.712)"
KIRC,Bio-STFM,0.776 ± 0.039,"(0.748, 0.804)"
KIRC,MCAT,0.734 ± 0.045,"(0.703, 0.764)"
KIRC,Porpoise,0.714 ± 0.028,"(0.684, 0.744)"
KIRC,ABMIL,0.698 ± 0.039,"(0.669, 0.727)"
KIRC,TransMIL,0.696 ± 0.037,"(0.666, 0.726)"
LIHC,Bio-STFM,0.742 ± 0.037,"(0.712, 0.773)"
LIHC,MCAT,0.700 ± 0.035,"(0.671, 0.729)"
LIHC,Porpoise,0.683 ± 0.012,"(0.653, 0.714)"
LIHC,TransMIL,0.671 ± 0.033,"(0.641, 0.700)"
LIHC,ABMIL,0.650 ± 0.023,"(0.620, 0.679)"
LUAD,Bio-STFM,0.740 ± 0.050,"(0.710, 0.770)"
LUAD,MCAT,0.706 ± 0.033,"(0.674, 0.737)"
LUAD,TransMIL,0.678 ± 0.035,"(0.648, 0.708)"
LUAD,Porpoise,0.665 ± 0.038,"(0.635, 0.696)"
LUAD,ABMIL,0.646 ± 0.023,"(0.615, 0.676)"
